                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.35651,                0.18024,                0.36848,                0.89638,                 0.7486,                   0.75,                0.76938,                0.76938,                 0.7486,                   0.75,                0.76938,                0.74513,                0.72952,                 7.6358,                 1.3202,                 1.1232,                  0.098,                  2e-09,                  2e-09
                      2,                0.26956,                0.17007,                0.35811,                0.87975,                0.94809,                   0.75,                0.75034,                0.70901,                0.94809,                   0.75,                0.75034,                0.58874,                0.76968,                 4.0684,                  1.131,                 1.0797,                  0.095,             4.9505e-09,             4.9505e-09
                      3,                0.38412,                0.31281,                0.37739,                0.89215,                0.91651,                   0.75,                0.74879,                 0.7074,                      0,                      0,                      0,                      0,                0.97146,                 22.279,                 1.4912,                 1.2502,                  0.092,             7.8416e-09,             7.8416e-09
                      4,                0.34245,                0.21116,                0.37997,                0.88585,                0.74554,                   0.75,                0.75139,                0.72659,                0.24851,                   0.25,                 0.0879,                0.00879,                 1.0057,                 12.083,                 1.6617,                 1.2613,                  0.089,             1.0673e-08,             1.0673e-08
                      5,                0.33334,                0.24854,                0.35634,                 0.8507,                0.74068,                   0.75,                0.68869,                0.63267,                0.74068,                   0.75,                0.68869,                0.39351,                0.95236,                 4.5005,                 1.6967,                 1.1953,                  0.086,             1.3446e-08,             1.3446e-08
                      6,                 0.3534,                0.24621,                0.37992,                 0.8904,                0.59133,                   0.75,                0.55082,                0.41976,                0.59608,                   0.75,                0.68832,                  0.641,                 1.1635,                 1.8301,                 2.0934,                 1.2294,                  0.083,             1.6158e-08,             1.6158e-08
                      7,                0.36787,                0.19762,                0.37809,                0.91927,                0.98332,                    0.5,                0.62672,                0.51488,                0.98332,                    0.5,                0.62672,                0.54304,                 1.2788,                  5.096,                  2.133,                 1.3426,                   0.08,             1.8812e-08,             1.8812e-08
                      8,                0.45811,                0.38727,                0.42526,                0.92702,                0.90164,                    0.5,                 0.6275,                0.51567,                0.90164,                    0.5,                 0.6275,                0.53183,                 1.2627,                 7.1881,                 2.1116,                 1.3396,                  0.077,             2.1406e-08,             2.1406e-08
                      9,                  0.337,                0.20512,                0.37746,                0.88126,                0.91647,                    0.5,                0.59671,                0.52579,                0.91647,                    0.5,                0.59671,                0.51666,                 1.2303,                 11.355,                 2.1028,                 1.3338,                  0.074,             2.3941e-08,             2.3941e-08
                     10,                 0.3057,                0.17293,                0.36274,                0.88362,                0.93374,                    0.5,                0.59804,                0.52728,                0.93374,                    0.5,                0.59804,                0.51819,                 1.1835,                 12.759,                 2.0225,                 1.3044,                  0.071,             2.6416e-08,             2.6416e-08
                     11,                0.31002,                0.21007,                0.35813,                0.88028,                0.93765,                    0.5,                0.63026,                  0.544,                0.93765,                    0.5,                0.63026,                0.53182,                 1.1803,                 14.368,                 2.0192,                 1.3389,                  0.068,             2.8832e-08,             2.8832e-08
                     12,                0.33937,                0.31209,                0.36646,                0.82795,                 0.9427,                    0.5,                0.63114,                0.54499,                 0.9427,                    0.5,                0.63114,                0.54499,                 1.1771,                  14.68,                 1.9925,                 1.3613,                  0.065,             3.1189e-08,             3.1189e-08
                     13,                0.33539,                0.18499,                0.35461,                 0.8679,                0.58705,                   0.75,                 0.6606,                0.59081,                0.58705,                   0.75,                 0.6606,                0.59081,                 1.1136,                 14.867,                 1.8998,                 1.4023,                  0.062,             3.3486e-08,             3.3486e-08
                     14,                0.27164,                  0.184,                 0.3426,                0.86979,                      1,                0.71856,                0.76553,                0.70322,                      1,                0.71856,                0.76553,                0.70322,                  1.043,                 14.887,                  1.709,                 1.3513,                  0.059,             3.5723e-08,             3.5723e-08
                     15,                0.34722,                0.23108,                0.36248,                0.89844,                0.94683,                   0.75,                0.77286,                0.73221,                0.94683,                   0.75,                0.77286,                0.73221,                0.79425,                 14.272,                 1.2496,                 1.1789,                  0.056,             3.7902e-08,             3.7902e-08
                     16,                0.31175,                0.17713,                0.38936,                0.91355,                0.93781,                   0.75,                  0.784,                  0.784,                0.93781,                   0.75,                  0.784,                 0.7437,                0.74238,                 13.802,                 1.2134,                 1.1567,                  0.053,              4.002e-08,              4.002e-08
                     17,                0.34685,                 0.1967,                0.37623,                0.90215,                0.93354,                   0.75,                   0.81,                   0.81,                0.93354,                   0.75,                   0.81,                0.72458,                0.77483,                 12.882,                 1.2759,                 1.1851,                   0.05,              4.208e-08,              4.208e-08
                     18,                0.30412,                0.22078,                0.35858,                0.86546,                0.91844,                   0.75,                   0.81,                   0.81,                0.91844,                   0.75,                   0.81,                0.70158,                0.78554,                 12.469,                  1.301,                  1.192,                  0.047,              4.408e-08,              4.408e-08
                     19,                0.36553,                0.30914,                0.40575,                0.88381,                0.88833,                   0.75,                0.80071,                0.80071,                0.88833,                   0.75,                0.80071,                0.71504,                 0.7932,                 11.982,                 1.3077,                 1.2137,                  0.044,             4.6021e-08,             4.6021e-08
                     20,                0.27992,                0.19198,                0.31652,                0.85411,                0.86998,                   0.75,                0.80071,                0.80071,                0.86998,                   0.75,                0.80071,                0.71504,                0.77382,                 11.541,                 1.2967,                 1.2021,                  0.041,             4.7902e-08,             4.7902e-08
                     21,                0.28719,                0.19527,                0.34486,                0.87881,                0.85867,                   0.75,                0.80071,                0.80071,                0.85867,                   0.75,                0.80071,                0.69175,                0.78576,                 11.083,                 1.3423,                 1.2142,                  0.038,             4.9724e-08,             4.9724e-08
                     22,                0.32727,                0.20785,                0.38072,                0.92017,                0.87522,                   0.75,                0.80071,                0.80071,                0.87522,                   0.75,                0.80071,                0.69175,                0.77395,                 10.572,                 1.3409,                 1.2151,                  0.035,             5.1486e-08,             5.1486e-08
                     23,                0.30381,                 0.1728,                0.35014,                0.88142,                0.89283,                   0.75,                0.80071,                0.80071,                0.89283,                   0.75,                0.80071,                0.69175,                0.77079,                 10.015,                 1.3517,                 1.2143,                  0.032,              5.319e-08,              5.319e-08
                     24,                0.32297,                0.19653,                 0.3654,                0.91139,                0.90299,                   0.75,                0.80071,                0.80071,                0.90299,                   0.75,                0.80071,                0.69175,                0.75637,                 9.5878,                 1.3424,                 1.1901,                  0.029,             5.4833e-08,             5.4833e-08
                     25,                0.29931,                0.18166,                0.35547,                0.88973,                0.92102,                   0.75,                0.80071,                0.80071,                0.92102,                   0.75,                0.80071,                0.69175,                0.74039,                 9.1174,                 1.3323,                 1.1779,                  0.026,             5.6418e-08,             5.6418e-08
                     26,                0.24205,                0.15351,                0.31852,                0.86748,                0.93871,                   0.75,                0.80071,                0.80071,                0.93871,                   0.75,                0.80071,                0.69175,                0.73914,                  8.755,                 1.3371,                 1.1805,                  0.023,             5.7942e-08,             5.7942e-08
                     27,                0.27547,                0.16013,                0.31209,                0.86083,                0.92195,                   0.75,                  0.823,                  0.823,                0.92195,                   0.75,                  0.823,                 0.7276,                0.73247,                 8.3859,                  1.337,                 1.1728,                   0.02,             5.9408e-08,             5.9408e-08
                     28,                 0.2858,                0.19309,                0.34005,                0.88427,                0.89383,                   0.75,                  0.823,                  0.823,                0.89383,                   0.75,                  0.823,                 0.7502,                0.73469,                 8.0929,                 1.3501,                 1.1738,                  0.017,             6.0814e-08,             6.0814e-08
                     29,                0.29536,                0.15829,                0.31416,                0.92683,                0.89383,                   0.75,                  0.823,                  0.823,                0.89383,                   0.75,                  0.823,                 0.7502,                0.73469,                 8.0929,                 1.3501,                 1.1738,                  0.014,             6.2161e-08,             6.2161e-08
                     30,                0.35186,                0.22376,                0.40216,                0.88342,                0.88058,                   0.75,                   0.81,                   0.81,                0.88058,                   0.75,                   0.81,                0.73683,                0.73035,                 7.8362,                 1.3554,                 1.1685,                  0.011,             6.3448e-08,             6.3448e-08
                     31,                0.32068,                0.19412,                0.37205,                0.86632,                0.84362,                   0.75,                  0.823,                  0.823,                0.84362,                   0.75,                  0.823,                 0.7502,                0.71952,                 7.6409,                 1.3491,                 1.1615,              0.0080001,             6.4676e-08,             6.4676e-08
                     32,                0.27902,                0.18698,                0.34001,                0.83133,                0.80375,                   0.75,                   0.81,                   0.81,                0.80375,                   0.75,                   0.81,                0.73683,                 0.7299,                  7.593,                 1.3696,                  1.174,              0.0050001,             6.5844e-08,             6.5844e-08
                     33,                0.28517,                0.24311,                0.33733,                0.86446,                0.80375,                   0.75,                   0.81,                   0.81,                0.80375,                   0.75,                   0.81,                0.73683,                 0.7299,                  7.593,                 1.3696,                  1.174,              0.0020001,             6.6954e-08,             6.6954e-08
                     34,                0.31512,                0.19084,                0.35939,                0.89814,                0.78025,                   0.75,                   0.81,                   0.81,                0.78025,                   0.75,                   0.81,                0.73683,                0.73753,                 7.5705,                 1.3803,                  1.183,              6.733e-08,              6.733e-08,              6.733e-08
                     35,                0.31624,                0.20695,                0.35757,                 0.8715,                0.74987,                   0.75,                   0.81,                   0.81,                0.74987,                   0.75,                   0.81,                0.75983,                0.73872,                 7.6066,                 1.3825,                 1.1887,              6.733e-08,              6.733e-08,              6.733e-08
                     36,                0.31497,                0.18786,                0.34852,                0.91254,                 0.7498,                   0.75,                   0.81,                   0.81,                 0.7498,                   0.75,                   0.81,                0.75983,                0.73655,                 7.6407,                 1.3814,                 1.1861,              6.634e-08,              6.634e-08,              6.634e-08
                     37,                 0.3371,                0.27259,                0.36476,                0.89896,                 0.7498,                   0.75,                   0.81,                   0.81,                 0.7498,                   0.75,                   0.81,                0.75983,                0.73655,                 7.6407,                 1.3814,                 1.1861,              6.535e-08,              6.535e-08,              6.535e-08
                     38,                0.33116,                0.76176,                0.39632,                0.92939,                0.74932,                   0.75,                   0.81,                   0.81,                0.74932,                   0.75,                   0.81,                0.75983,                0.73597,                 7.6559,                 1.3837,                 1.1869,              6.436e-08,              6.436e-08,              6.436e-08
                     39,                0.31371,                0.17047,                0.35253,                0.89589,                 0.7494,                   0.75,                   0.81,                   0.81,                 0.7494,                   0.75,                   0.81,                0.75983,                0.74769,                  7.711,                 1.3996,                 1.1985,              6.337e-08,              6.337e-08,              6.337e-08
                     40,                0.30997,                0.21341,                0.33726,                0.87549,                0.74901,                   0.75,                   0.81,                   0.81,                0.74901,                   0.75,                   0.81,                0.75983,                   0.75,                 7.7845,                 1.4094,                 1.2032,              6.238e-08,              6.238e-08,              6.238e-08
                     41,                0.33296,                0.20281,                0.38519,                0.87397,                0.74901,                   0.75,                   0.81,                   0.81,                0.74901,                   0.75,                   0.81,                0.75983,                   0.75,                 7.7845,                 1.4094,                 1.2032,              6.139e-08,              6.139e-08,              6.139e-08
                     42,                0.37266,                0.26593,                0.37789,                0.95422,                 0.7491,                   0.75,                   0.81,                   0.81,                 0.7491,                   0.75,                   0.81,                0.77867,                0.74931,                 7.8383,                 1.4075,                 1.2006,               6.04e-08,               6.04e-08,               6.04e-08
                     43,                0.27872,                0.27326,                0.33999,                0.86173,                0.74886,                   0.75,                   0.81,                   0.81,                0.74886,                   0.75,                   0.81,                0.77867,                0.74871,                 7.8938,                 1.4072,                 1.1998,              5.941e-08,              5.941e-08,              5.941e-08
                     44,                0.32082,                0.19938,                0.35565,                0.86597,                0.74878,                   0.75,                   0.81,                   0.81,                0.74878,                   0.75,                   0.81,                0.77867,                0.75364,                 7.9269,                 1.4165,                 1.2057,              5.842e-08,              5.842e-08,              5.842e-08
                     45,                0.35278,                 0.2128,                0.39663,                0.91784,                0.74878,                   0.75,                   0.81,                   0.81,                0.74878,                   0.75,                   0.81,                0.77867,                0.75364,                 7.9269,                 1.4165,                 1.2057,              5.743e-08,              5.743e-08,              5.743e-08
                     46,                0.31464,                0.21807,                 0.3657,                0.94238,                 0.7483,                   0.75,                   0.81,                   0.81,                 0.7483,                   0.75,                   0.81,                0.77867,                0.75634,                 7.9309,                 1.4177,                  1.205,              5.644e-08,              5.644e-08,              5.644e-08
                     47,                0.30023,                0.17339,                0.34077,                 0.8831,                0.74855,                   0.75,                   0.81,                   0.81,                0.74855,                   0.75,                   0.81,                0.77867,                0.74953,                 7.9105,                 1.4115,                 1.2001,              5.545e-08,              5.545e-08,              5.545e-08
                     48,                 0.2532,                 0.1556,                0.32531,                 0.8923,                0.74831,                   0.75,                   0.81,                   0.81,                0.74831,                   0.75,                   0.81,                0.77867,                0.75158,                 7.9524,                 1.4154,                 1.2027,              5.446e-08,              5.446e-08,              5.446e-08
                     49,                0.26616,                 0.1739,                0.34735,                0.85979,                0.74831,                   0.75,                   0.81,                   0.81,                0.74831,                   0.75,                   0.81,                0.77867,                0.75158,                 7.9524,                 1.4154,                 1.2027,              5.347e-08,              5.347e-08,              5.347e-08
                     50,                0.27503,                0.17399,                0.33632,                 0.8387,                0.74831,                   0.75,                   0.81,                   0.81,                0.74831,                   0.75,                   0.81,                0.77867,                0.74961,                 7.9632,                  1.411,                 1.2023,              5.248e-08,              5.248e-08,              5.248e-08
                     51,                0.33156,                0.18572,                 0.3633,                0.90636,                0.74806,                   0.75,                   0.81,                   0.81,                0.74806,                   0.75,                   0.81,                0.77867,                0.74925,                 8.0196,                 1.4114,                 1.2017,              5.149e-08,              5.149e-08,              5.149e-08
                     52,                0.32641,                0.19972,                0.34623,                0.86617,                0.74823,                   0.75,                   0.81,                   0.81,                0.74823,                   0.75,                   0.81,                0.77867,                 0.7542,                 8.0753,                 1.4252,                 1.2087,               5.05e-08,               5.05e-08,               5.05e-08
                     53,                0.31151,                0.26799,                0.37519,                0.87655,                0.74823,                   0.75,                   0.81,                   0.81,                0.74823,                   0.75,                   0.81,                0.77867,                 0.7542,                 8.0753,                 1.4252,                 1.2087,              4.951e-08,              4.951e-08,              4.951e-08
                     54,                0.28226,                0.24198,                 0.3567,                0.84562,                 0.7479,                   0.75,                   0.81,                   0.81,                 0.7479,                   0.75,                   0.81,                0.77867,                0.74788,                 8.0421,                 1.4184,                 1.2033,              4.852e-08,              4.852e-08,              4.852e-08
                     55,                0.30346,                0.18044,                0.34509,                0.88811,                0.74814,                   0.75,                   0.81,                   0.81,                0.74814,                   0.75,                   0.81,                0.77867,                0.75081,                 8.0473,                 1.4228,                 1.2075,              4.753e-08,              4.753e-08,              4.753e-08
                     56,                0.31183,                0.21586,                0.35345,                0.87224,                0.74799,                   0.75,                   0.81,                   0.81,                0.74799,                   0.75,                   0.81,                0.77867,                 0.7448,                 8.0237,                 1.4095,                  1.201,              4.654e-08,              4.654e-08,              4.654e-08
                     57,                0.31628,                0.20232,                0.35253,                0.86172,                0.74799,                   0.75,                   0.81,                   0.81,                0.74799,                   0.75,                   0.81,                0.77867,                 0.7448,                 8.0237,                 1.4095,                  1.201,              4.555e-08,              4.555e-08,              4.555e-08
                     58,                0.29078,                 0.2707,                0.34889,                0.87475,                 0.7479,                   0.75,                   0.81,                   0.81,                 0.7479,                   0.75,                   0.81,                0.77867,                0.74562,                 8.0368,                 1.4153,                 1.2033,              4.456e-08,              4.456e-08,              4.456e-08
                     59,                0.31494,                 0.2105,                0.38881,                0.93642,                0.74773,                   0.75,                   0.81,                   0.81,                0.74773,                   0.75,                   0.81,                0.77867,                0.74579,                 7.9807,                 1.4156,                 1.2013,              4.357e-08,              4.357e-08,              4.357e-08
                     60,                 0.3151,                 0.1844,                0.38592,                0.87891,                0.74757,                   0.75,                   0.81,                   0.81,                0.74757,                   0.75,                   0.81,                0.77867,                0.73989,                 8.0047,                 1.4073,                  1.196,              4.258e-08,              4.258e-08,              4.258e-08
                     61,                0.45015,                0.21722,                0.42077,                 0.9986,                0.74757,                   0.75,                   0.81,                   0.81,                0.74757,                   0.75,                   0.81,                0.77867,                0.73989,                 8.0047,                 1.4073,                  1.196,              4.159e-08,              4.159e-08,              4.159e-08
                     62,                0.37688,                0.26214,                0.41119,                0.96601,                0.74742,                   0.75,                   0.81,                   0.81,                0.74742,                   0.75,                   0.81,                0.77867,                0.73738,                 7.9682,                 1.4091,                 1.1933,               4.06e-08,               4.06e-08,               4.06e-08
